Non Technical Services Agreement ,Non Technical Services Agreement
"Non Technical Services Agreement
2.0 Statement of Work
Supplier will provide Deliverables and Services as specified in the relevant SOW and/or WA. Supplier will begin work only
after receiving a WA from Buyer. Buyer may request changes to a SOW and/or WA and Supplier will submit to Buyer the
impact of such changes.",Non Technical Services Agreement
"Non Technical Services Agreement
3.0 Pricing
Supplier will provide Deliverables and Services to Buyer for the Prices. The Prices for Deliverables and Services specified in
a SOW and/or WA and accepted by Buyer plus the payment of applicable Taxes will be the only amount due to Supplier",Non Technical Services Agreement
"Non Technical Services Agreement
confidentiality terms, intellectual property rights",Non Technical Services Agreement
"Non Technical Services Agreement
Payments and Acceptance
Terms for payment will be specified in the relevant SOW and/or WA. Payment of invoices will not be deemed acceptance of
Deliverables or Services, but rather such Deliverables or Services will be subject to inspection, test, acceptance or rejection in
accordance with the acceptance or completion criteria as specified in the relevant SOW and/or WA. Buyer or Customer may,
at its option, either reject Deliverables or Services that do not comply with the acceptance or completion criteria for a refund,
or require Supplier, upon Buyer’s written instruction, to repair or replace such Deliverables or re-perform such Service,
without charge and in a timely manner.",Non Technical Services Agreement
"Non Technical Services Agreement
On Time Delivery
Deliverables or Services will be delivered as specified in the relevant SOW and/or WA.",Non Technical Services Agreement
"Non Technical Services Agreement
Asset Control
In the event Supplier Personnel has access to information, information assets, supplies or other property, including property
owned by third parties but provided to Supplier Personnel by Buyer (""Buyer Assets""), Supplier Personnel will:
1. not remove Buyer Assets from Buyer's or Customer’s premises without Buyer's authorization;
2. use Buyer Assets only for purposes of this Agreement and reimburse Buyer for any unauthorized use;
3. only connect with, interact with or use programs, tools or routines that Buyer agrees are needed to provide Services;
4. not share or disclose user identifiers, passwords, cipher keys or computer dial port telephone numbers;
5. not copy, disclose or leave such assets unsecured or unattended, in the event the Buyer Assets are confidential,; and
6. immediately notify Buyer of any security incidents involving Buyer Assets and provide Buyer with a copy of any accident
or incident report involving the above.
Buyer may periodically audit Supplier's data residing on Buyer Assets.",Non Technical Services Agreement
"Non Technical Services Agreement
Language that is either optional or where text must be inserted will be underlined throughout the document (delete language
or options that are not applicable).
This Base Agreement (ìBase Agreementî) between International Business Machines Corporation(ìBuyerî) and FARLAND
GROUP, LLC (ìSupplierî), establishes the basis for a multinational procurement relationship under which Supplier will
provide the Deliverables and Services described in SOWs and/or WAs issued under this Base Agreement. This Base
Agreement is effective from (ìEffective Dateî) and will remain in effect until terminated.
The following sentence is an optional sentence that can be used as an alternative to defining a specific effective Date and
would replace the last sentence of the introductory paragraph above if the parties prefer to have the date the last party signs
the Base Agreement to become the effective date.
The effective date will be the date that the last party signs this Base Agreement (""Effective Date"") and will remain in effect
until terminated.",Non Technical Services Agreement
"Non Technical Services Agreement
This Base Agreement (“Base Agreement”) between International Business Machines Corporation (“Buyer”) and Seligence
LLC (“Supplier”) establishes the basis for a multinational procurement relationship under which Supplier will provide the
Deliverables and Services described in SOWs and/or WAs issued under this Base Agreement. This Base Agreement is
effective from (“Effective Date”) and will remain in effect until terminated.
1.0 Definitions
""Affiliates"" means entities that control, are controlled by, or are under common control with, a party to this Agreement.
""Agreement"" means this Base Agreement and any relevant Statements of Work (""SOW""), Work Authorizations (""WA""),
and other attachments or appendices specifically referenced in this Agreement.
""Customer"" means Buyer’s customer.
""Deliverables"" means items that Supplier prepares for or provides to Buyer or Customer as described in a SOW and/or WA.
""Developed Works"" means all work product developed in the performance of this Agreement as described in a SOW and/or
WA.
“Effective Date”-Means the day the last party signs this agreement.
""Participation Agreement"" or ""PA"" means an agreement signed by one or more Affiliates which incorporates by reference
the terms and conditions in this Base Agreement, any relevant SOW, and other attachments or appendices specifically
referenced in the PA.
""Personal Data"" means any information that may identify an individual.
""Personnel” means agents, employees or subcontractors engaged or appointed by Buyer, Customer or Supplier.
“Prices"" means the agreed upon payment and currency for Deliverables and Services, exclusive of Taxes but including all
applicable fees and payments, as specified in the relevant SOW and/or WA.
""Services"" means work that Supplier performs for Buyer or Customer as described in a SOW and/or WA.
""Statement of Work"" or ""SOW"" means any document that:
1. identifies itself as a statement of work;
2. is signed by both parties;
3. incorporates by reference the terms and conditions of this Base Agreement; and
4. describes the Deliverables and Services, including any requirements, specifications or schedules.
“Taxes” means any and all applicable taxes, charges, fees, levies or other assessments imposed or collected by any
governmental entity worldwide or any political subdivision thereof and however designated or levied on sales of Deliverables
or Services, or sales, use, transfer, goods and services or value added tax or any other duties or fees related to any payment
made by Buyer to Supplier for Deliverables and/or Services provided by Supplier to Buyer under or pursuant to this
Agreement; exclusive, however, of any taxes imposed upon the net income or capital of Supplier, any taxes in lieu of such
net income taxes and any other taxes which are to be borne by Supplier under law.
""Work Authorization"" or ""WA"" means Buyer’s authorization in either electronic or tangible form for Supplier to conduct
transactions under this Agreement in accordance with the applicable SOW (i.e., a purchase order, bill of lading, or other
Buyer designated document). A SOW is a WA only if designated as such in writing by Buyer.
2.0 Statement of Work
Supplier will provide Deliverables and Services as specified in the relevant SOW and/or WA. Supplier will begin work only
after receiving a WA from Buyer. Buyer may request changes to a SOW and/or WA and Supplier will submit to Buyer the
impact of such changes. Changes accepted by Buyer will be specified in an amended SOW and/or WA or change order
signed by both parties. Supplier agrees to accept all WA's that conform with the terms and conditions of this Agreement.
3.0 Pricing
Supplier will provide Deliverables and Services to Buyer for the Prices. The Prices for Deliverables and Services specified in
a SOW and/or WA and accepted by Buyer plus the payment of applicable Taxes will be the only amount due to Supplier
from Buyer. The relevant SOW or WA shall contain Prices for each country receiving Deliverables and Services under this
Agreement.
4.0 Taxes
Supplier’s invoices shall state all applicable Taxes, if any, by tax jurisdiction and with a proper breakdown between taxable
and non-taxable Deliverables and Services. Supplier assumes responsibility to timely remit all Tax payments to the
appropriate governmental authority in each respective jurisdiction. Supplier and Buyer agree to cooperate to minimize,
wherever possible and appropriate, any applicable Taxes, including and provide reasonable notice and cooperation in
connection with any audit. Supplier shall also bear sole responsibility for all taxes, assessments, or other levies on its own
",Non Technical Services Agreement
"Non Technical Services Agreement
Master Agreement
(a) Supplier will ensure that Supplier Personnel assigned to work on Buyer’s or Customer’s premises will not: 1. conduct any non-Buyer related business activities (such as interviews, hirings, dismissals",Non Technical Services Agreement
